Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-12-18 00:00:00+08:00,0.190000,0.190000,0.100000,0.150000,60,0.000000,0.000000
2018-12-19 00:00:00+08:00,0.200000,0.270000,0.200000,0.270000,20,0.000000,0.000000
2018-12-21 00:00:00+08:00,0.120000,0.120000,0.100000,0.100000,10530,0.000000,0.000000
2018-12-24 00:00:00+08:00,0.230000,0.240000,0.230000,0.240000,30,0.000000,0.000000
2019-01-02 00:00:00+08:00,0.260000,0.260000,0.260000,0.260000,10,0.000000,0.000000
2019-01-04 00:00:00+08:00,0.270000,0.270000,0.270000,0.270000,10,0.000000,0.000000
2019-02-08 00:00:00+08:00,0.100000,0.240000,0.100000,0.240000,10010,0.000000,0.000000
2019-02-12 00:00:00+08:00,0.260000,0.260000,0.260000,0.260000,10,0.000000,0.000000
2019-02-26 00:00:00+08:00,0.270000,0.270000,0.270000,0.270000,10,0.000000,0.000000
2019-02-27 00:00:00+08:00,0.370000,0.370000,0.370000,0.370000,10,0.000000,0.000000
2019-03-01 00:00:00+08:00,0.250000,0.250000,0.250000,0.250000,10000,0.000000,0.000000
2019-04-05 00:00:00+08:00,0.140000,0.230000,0.140000,0.230000,9980,0.000000,0.000000
2019-04-11 00:00:00+08:00,0.130000,0.170000,0.120000,0.170000,19000,0.000000,0.000000
2019-04-12 00:00:00+08:00,0.230000,0.230000,0.230000,0.230000,10,0.000000,0.000000
2019-04-17 00:00:00+08:00,0.130000,0.150000,0.110000,0.130000,25140,0.000000,0.000000
2019-04-18 00:00:00+08:00,0.200000,0.200000,0.120000,0.130000,14050,0.000000,0.000000
2019-04-22 00:00:00+08:00,0.160000,0.160000,0.160000,0.160000,10,0.000000,0.000000
2019-04-23 00:00:00+08:00,0.190000,0.190000,0.120000,0.120000,78990,0.000000,0.000000
2019-04-29 00:00:00+08:00,0.180000,0.180000,0.140000,0.150000,93120,0.000000,0.000000
2019-05-02 00:00:00+08:00,0.140000,0.160000,0.130000,0.160000,18900,0.000000,0.000000
2019-05-03 00:00:00+08:00,0.180000,0.180000,0.170000,0.170000,5510,0.000000,0.000000
2019-05-06 00:00:00+08:00,0.120000,0.140000,0.120000,0.130000,123000,0.000000,0.000000
2019-05-07 00:00:00+08:00,0.150000,0.150000,0.130000,0.150000,100510,0.000000,0.000000
2019-05-08 00:00:00+08:00,0.290000,0.290000,0.130000,0.130000,36980,0.000000,0.000000
2019-05-09 00:00:00+08:00,0.280000,0.280000,0.130000,0.210000,30020,0.000000,0.000000
2019-05-13 00:00:00+08:00,0.120000,0.120000,0.120000,0.120000,53490,0.000000,0.000000
2019-05-15 00:00:00+08:00,0.120000,0.130000,0.120000,0.120000,25000,0.000000,0.000000
2019-05-16 00:00:00+08:00,0.140000,0.210000,0.140000,0.160000,485290,0.000000,0.000000
2019-05-17 00:00:00+08:00,0.190000,0.190000,0.150000,0.170000,14530,0.000000,0.000000
2019-05-21 00:00:00+08:00,0.190000,0.190000,0.150000,0.170000,47110,0.000000,0.000000
2019-05-22 00:00:00+08:00,0.150000,0.150000,0.150000,0.150000,10000,0.000000,0.000000
2019-05-23 00:00:00+08:00,0.140000,0.150000,0.130000,0.130000,90000,0.000000,0.000000
2019-05-24 00:00:00+08:00,0.130000,0.140000,0.130000,0.140000,4010,0.000000,0.000000
2019-05-28 00:00:00+08:00,0.160000,0.160000,0.160000,0.160000,10,0.000000,0.000000
2019-05-31 00:00:00+08:00,0.200000,0.200000,0.200000,0.200000,10,0.000000,0.000000
2019-06-03 00:00:00+08:00,0.240000,0.240000,0.240000,0.240000,10,0.000000,0.000000
2019-06-11 00:00:00+08:00,0.110000,0.110000,0.100000,0.100000,20000,0.000000,0.000000
2019-06-12 00:00:00+08:00,0.230000,0.240000,0.230000,0.240000,20,0.000000,0.000000
2019-06-14 00:00:00+08:00,0.120000,0.220000,0.110000,0.150000,16020,0.000000,0.000000
