Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RClose
2022-02-08 00:00:00+08:00,3.320985,3.387215,3.311522,3.349368,6432179,0.000000,0.000000,3.368094
2022-02-09 00:00:00+08:00,3.377753,3.472368,3.358830,3.453445,13752960,0.000000,0.000000,3.472362
2022-02-10 00:00:00+08:00,3.472368,3.548060,3.425061,3.538598,15079817,0.000000,0.000000,3.557706
2022-02-11 00:00:00+08:00,3.510214,3.557521,3.443983,3.462906,9549552,0.000000,0.000000,3.482205
2022-02-14 00:00:00+08:00,3.443983,3.472368,3.406137,3.425061,9430258,0.000000,0.000000,3.444551
2022-02-15 00:00:00+08:00,3.462906,3.519675,3.415599,3.453445,7034233,0.000000,0.000000,3.473127
2022-02-16 00:00:00+08:00,3.443983,3.500752,3.425061,3.491291,6243789,0.000000,0.000000,3.511164
2022-02-17 00:00:00+08:00,3.491291,3.557522,3.491291,3.538598,9443366,0.000000,0.000000,3.558662
2022-02-18 00:00:00+08:00,3.510214,3.614290,3.510214,3.548060,8927174,0.000000,0.000000,3.568315
2022-02-21 00:00:00+08:00,3.529137,3.576445,3.519676,3.538598,3668722,0.000000,0.000000,3.559044
2022-02-22 00:00:00+08:00,3.519676,3.538598,3.472368,3.491291,5227053,0.000000,0.000000,3.511928
2022-02-23 00:00:00+08:00,3.519676,3.557521,3.472368,3.557521,11192018,0.000000,0.000000,3.578349
2022-02-24 00:00:00+08:00,3.500752,3.529137,3.387215,3.434522,14809121,0.000000,0.000000,3.455541
2022-02-25 00:00:00+08:00,3.491291,3.566983,3.472368,3.519676,13833336,0.000000,0.000000,3.540886
2022-02-28 00:00:00+08:00,3.510215,3.566983,3.425061,3.491291,21968001,0.000000,0.000000,3.512692
2022-03-01 00:00:00+08:00,3.510214,3.566982,3.510214,3.529137,8593580,0.000000,0.000000,3.550729
2022-03-02 00:00:00+08:00,3.519676,3.566983,3.510215,3.519676,6454838,0.000000,0.000000,3.541459
2022-03-03 00:00:00+08:00,3.529137,3.566982,3.519675,3.529137,3413675,0.000000,0.000000,3.551112
2022-03-04 00:00:00+08:00,3.491291,3.510214,3.462906,3.481830,6774105,0.000000,0.000000,3.503996
2022-03-07 00:00:00+08:00,3.462906,3.529137,3.453445,3.462906,6016075,0.000000,0.000000,3.485263
2022-03-08 00:00:00+08:00,3.472368,3.519676,3.434522,3.472368,6970624,0.000000,0.000000,3.494916
2022-03-09 00:00:00+08:00,3.481830,3.576445,3.453445,3.566983,14045401,0.000000,0.000000,3.589722
2022-03-10 00:00:00+08:00,3.576445,3.652136,3.529137,3.576445,15530266,0.000000,0.000000,3.599375
2022-03-11 00:00:00+08:00,3.548060,3.633213,3.548060,3.595367,4243850,0.000000,0.000000,3.618488
2022-03-14 00:00:00+08:00,3.595367,3.623752,3.548060,3.566983,4565555,0.000000,0.000000,3.590295
2022-03-15 00:00:00+08:00,3.548060,3.566982,3.481830,3.500752,8284983,0.000000,0.000000,3.524255
2022-03-16 00:00:00+08:00,3.519675,3.557521,3.510214,3.529137,9858454,0.000000,0.000000,3.552831
2022-03-17 00:00:00+08:00,3.529137,3.548060,3.500752,3.519676,10357372,0.000000,0.000000,3.543561
2022-03-18 00:00:00+08:00,3.538598,3.623752,3.529137,3.585906,23715974,0.000000,0.000000,3.609982
2022-03-21 00:00:00+08:00,3.614290,3.642675,3.585906,3.642675,5810733,0.000000,0.000000,3.666943
2022-03-22 00:00:00+08:00,3.652136,3.689982,3.642675,3.680521,7387134,0.000000,0.000000,3.704980
2022-03-23 00:00:00+08:00,3.689982,3.727828,3.633213,3.652136,7914808,0.000000,0.000000,3.676786
2022-03-24 00:00:00+08:00,3.652136,3.699443,3.633213,3.699443,5930822,0.000000,0.000000,3.724284
2022-03-25 00:00:00+08:00,3.718367,3.727828,3.661598,3.689982,3441110,0.000000,0.000000,3.715014
2022-03-28 00:00:00+08:00,3.680521,3.756212,3.671060,3.756212,7883410,0.000000,0.000000,3.781435
2022-03-29 00:00:00+08:00,3.775136,3.831905,3.756212,3.794058,13373031,0.000000,0.000000,3.819472
2022-03-30 00:00:00+08:00,3.860290,3.860290,3.803520,3.860290,10604595,0.000000,0.000000,3.885895
2022-03-31 00:00:00+08:00,3.879212,3.907596,3.775136,3.775136,15219636,0.000000,0.000000,3.800932
